Time	Node	Type	Packets	
9	92	CacheMisses	270
9	93	CacheHits	229
9	93	CacheMisses	268
9	94	CacheHits	198
9	94	CacheMisses	274
9	95	CacheHits	282
9	95	CacheMisses	272
9	96	CacheHits	243
9	96	CacheMisses	271
9	97	CacheHits	758
9	97	CacheMisses	261
9	98	CacheHits	354
9	98	CacheMisses	270
9	99	CacheHits	462
9	99	CacheMisses	267
10	50	CacheHits	288
10	50	CacheMisses	250
10	51	CacheHits	304
10	51	CacheMisses	253
10	52	CacheHits	396
10	52	CacheMisses	249
10	53	CacheHits	383
10	53	CacheMisses	252
10	54	CacheHits	313
10	54	CacheMisses	254
10	55	CacheHits	294
10	55	CacheMisses	256
10	56	CacheHits	211
10	56	CacheMisses	254
10	57	CacheHits	184
10	57	CacheMisses	260
10	58	CacheHits	283
10	58	CacheMisses	252
10	59	CacheHits	170
10	59	CacheMisses	258
10	60	CacheHits	214
10	60	CacheMisses	257
10	61	CacheHits	392
10	61	CacheMisses	248
10	62	CacheHits	297
10	62	CacheMisses	249
10	63	CacheHits	336
10	63	CacheMisses	249
10	64	CacheHits	395
10	64	CacheMisses	252
10	65	CacheHits	465
10	65	CacheMisses	250
10	66	CacheHits	296
10	66	CacheMisses	256
10	67	CacheHits	251
10	67	CacheMisses	255
10	68	CacheHits	375
10	68	CacheMisses	252
10	69	CacheHits	270
10	69	CacheMisses	255
10	70	CacheHits	455
10	70	CacheMisses	250
10	71	CacheHits	183
10	71	CacheMisses	258
10	72	CacheHits	428
10	72	CacheMisses	249
10	73	CacheHits	318
10	73	CacheMisses	250
10	74	CacheHits	252
10	74	CacheMisses	254
10	75	CacheHits	191
10	75	CacheMisses	263
10	76	CacheHits	118
10	76	CacheMisses	257
10	77	CacheHits	218
10	77	CacheMisses	251
10	78	CacheHits	228
10	78	CacheMisses	254
10	79	CacheHits	242
10	79	CacheMisses	257
10	80	CacheHits	436
10	80	CacheMisses	249
10	81	CacheHits	178
10	81	CacheMisses	259
10	82	CacheHits	466
10	82	CacheMisses	247
10	83	CacheHits	352
10	83	CacheMisses	247
10	84	CacheHits	360
10	84	CacheMisses	250
10	85	CacheHits	396
10	85	CacheMisses	249
10	86	CacheHits	275
10	86	CacheMisses	252
10	87	CacheHits	351
10	87	CacheMisses	252
10	88	CacheHits	479
10	88	CacheMisses	249
10	89	CacheHits	291
10	89	CacheMisses	255
10	90	CacheHits	241
10	90	CacheMisses	254
10	91	CacheHits	259
10	91	CacheMisses	252
10	92	CacheHits	255
10	92	CacheMisses	249
10	93	CacheHits	217
10	93	CacheMisses	257
10	94	CacheHits	176
10	94	CacheMisses	256
10	95	CacheHits	249
10	95	CacheMisses	257
10	96	CacheHits	249
10	96	CacheMisses	257
10	97	CacheHits	724
10	97	CacheMisses	248
10	98	CacheHits	297
10	98	CacheMisses	250
10	99	CacheHits	478
10	99	CacheMisses	251
11	50	CacheHits	272
11	50	CacheMisses	257
11	51	CacheHits	240
11	51	CacheMisses	258
11	52	CacheHits	356
11	52	CacheMisses	256
11	53	CacheHits	352
11	53	CacheMisses	253
11	54	CacheHits	266
11	54	CacheMisses	255
11	55	CacheHits	284
11	55	CacheMisses	261
11	56	CacheHits	210
11	56	CacheMisses	262
11	57	CacheHits	161
11	57	CacheMisses	262
11	58	CacheHits	232
11	58	CacheMisses	261
11	59	CacheHits	166
11	59	CacheMisses	264
11	60	CacheHits	218
11	60	CacheMisses	258
11	61	CacheHits	360
11	61	CacheMisses	253
11	62	CacheHits	303
11	62	CacheMisses	255
11	63	CacheHits	290
11	63	CacheMisses	254
11	64	CacheHits	329
11	64	CacheMisses	254
11	65	CacheHits	425
11	65	CacheMisses	253
11	66	CacheHits	261
11	66	CacheMisses	260
11	67	CacheHits	215
11	67	CacheMisses	257
11	68	CacheHits	374
11	68	CacheMisses	252
11	69	CacheHits	252
